[WI-0][TI-0] - 2025-11-06 20:00:02.882 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7002930737308646 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:02.893 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:03.149 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7002930737308646 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:03.156 WARN  [Curator-TreeCache-0] o.a.d.s.m.c.MasterSlotManager:[75] - Do rebalance failed, cannot found the current master: 172.28.0.6:5678 in the normal master clusters: []. Please check the current master server status
[WI-0][TI-0] - 2025-11-06 20:00:03.894 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7011834053005507 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:03.895 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:04.155 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7011834053005507 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:04.897 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7013335455315265 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:04.898 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:05.156 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7013335455315265 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:05.899 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7008576009993334 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:05.900 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:06.157 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7008576009993334 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:06.902 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7045830805972778 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:06.903 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:07.158 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7045830805972778 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:07.905 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7009356739194408 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:07.905 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:08.161 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7009356739194408 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:08.908 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:08.909 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:09.162 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:09.911 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:09.912 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:10.164 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:10.915 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:10.918 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:11.166 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:11.920 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:11.920 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:12.169 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.700674429917543 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:12.922 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7004852532265136 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:12.923 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:13.169 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7004852532265136 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:13.175 WARN  [Curator-TreeCache-0] o.a.d.s.m.c.MasterSlotManager:[75] - Do rebalance failed, cannot found the current master: 172.28.0.6:5678 in the normal master clusters: []. Please check the current master server status
[WI-0][TI-0] - 2025-11-06 20:00:13.924 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7004852532265136 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:13.925 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:14.175 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7004852532265136 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:14.926 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7005132794029624 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:14.927 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:15.176 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7005132794029624 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:15.929 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7014811834253193 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:15.931 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:16.177 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7014811834253193 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:16.929 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7015412395177095 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:16.930 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:17.174 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7015412395177095 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:17.932 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7015412395177095 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:17.934 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:18.175 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7015412395177095 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:18.936 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:18.936 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:19.176 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:19.941 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:19.944 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:20.178 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:20.949 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:20.950 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:21.182 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.701383592275185 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:21.954 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7016658559094194 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:21.956 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:22.184 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7016658559094194 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:22.960 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7022088630781149 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:22.962 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:23.186 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7022088630781149 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:23.197 WARN  [Curator-TreeCache-0] o.a.d.s.m.c.MasterSlotManager:[75] - Do rebalance failed, cannot found the current master: 172.28.0.6:5678 in the normal master clusters: []. Please check the current master server status
[WI-0][TI-0] - 2025-11-06 20:00:23.966 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.702474611286942 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:23.967 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:24.196 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.702474611286942 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:24.969 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.702474611286942 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:24.971 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
[WI-0][TI-0] - 2025-11-06 20:00:25.197 INFO  [MasterHeartBeatTask] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.702474611286942 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:25.972 INFO  [MasterCommandLoopThread] o.a.d.m.m.BaseServerLoadProtection:[61] - OverLoad: the SystemMemoryUsedPercentage: 0.7020647284563782 is over then the maxSystemMemoryUsagePercentageThresholds 0.7
[WI-0][TI-0] - 2025-11-06 20:00:25.973 WARN  [MasterCommandLoopThread] o.a.d.s.m.e.c.CommandEngine:[118] - The current server is overload, cannot consumes commands.
